                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4314,                 1.6057,                 1.1814,                 0.4102,                0.85714,                0.39328,                0.24114,                 1.3368,                 4.3693,                 1.2339,             0.00065152,             0.00065152,             0.00065152
                      2,                 1.2748,                 1.0154,                  1.129,                0.39477,                      1,                0.46056,                0.28519,                 1.3337,                 2.8725,                 1.1966,              0.0012312,              0.0012312,              0.0012312
                      3,                 1.3042,                0.91521,                  1.139,                0.42131,                0.85714,                0.48329,                0.30805,                 1.2546,                 4.0716,                 1.1859,              0.0017228,              0.0017228,              0.0017228
                      4,                 1.3082,                0.84131,                 1.1225,                0.49228,                0.85714,                0.52868,                0.34473,                 1.2922,                   1.66,                  1.192,               0.001604,               0.001604,               0.001604
                      5,                 1.3023,                0.75785,                 1.1438,                0.45231,                0.85539,                0.44751,                0.26801,                 1.2663,                 2.2143,                 1.2086,               0.001472,               0.001472,               0.001472
                      6,                 1.2873,                0.79416,                 1.1438,                0.40567,                0.89286,                0.44182,                0.24882,                 1.4637,                 1.7158,                  1.242,                0.00134,                0.00134,                0.00134
                      7,                 1.3024,                0.72221,                 1.1643,                0.44414,                0.92857,                0.47091,                 0.2784,                 1.3538,                 1.7192,                 1.2132,               0.001208,               0.001208,               0.001208
                      8,                 1.2581,                0.69155,                 1.1375,                0.44353,                0.85401,                0.43736,                0.28236,                 1.2859,                 1.7469,                 1.2047,               0.001076,               0.001076,               0.001076
                      9,                 1.2405,                0.68741,                 1.1367,                 0.4506,                0.92857,                0.50008,                0.34761,                 1.1528,                 1.6308,                 1.1459,               0.000944,               0.000944,               0.000944
